,Total improved,Piped on premises,Other improved,Other unimproved,Improved,Shared,Other unimproved,Open defecation
Mexico,96,89,7,4,85,11,3,1
Jordan,97,90,7,3,98,2,0,0
The former Yugoslav Republic of Macedonia,100,91,9,0,88,6,6,0
Brazil,98,92,6,2,79,1,16,4
Armenia,98,93,5,2,90,4,6,0
Chile,96,93,3,4,96,0,4,0
Republic of Korea,98,93,5,2,100,0,0,0
Iran (Islamic Republic of),96,94,2,4,100,0,0,0
Cayman Islands,96,95,1,4,96,0,4,0
Egypt,99,96,3,1,95,5,0,0
British Virgin Islands,98,97,1,2,100,0,0,0
Costa Rica,97,97,0,1,95,4,1,0
Tuvalu,98,97,1,2,85,0,11,4
French Polynesia,100,98,2,0,98,0,2,0
Japan,100,98,2,0,100,0,0,0
Poland,0,98,0,0,0,0,0,0
Turkey,100,98,2,0,90,2,8,0
Uruguay,100,98,0,0,100,0,0,0
Finland,100,99,1,0,100,0,0,0
Mauritius,99,99,0,1,89,9,2,0
Portugal,99,99,0,1,100,0,0,0
Slovenia,99,99,0,1,100,0,0,0
Spain,100,99,1,0,100,0,0,0
Andorra,100,100,0,0,100,0,0,0
Aruba,100,100,0,0,0,0,0,0
Australia,100,100,0,0,100,0,0,0
Austria,100,100,0,0,100,0,0,0
Belgium,100,100,0,0,100,0,0,0
Cyprus,100,100,0,0,100,0,0,0
Denmark,100,100,0,0,100,0,0,0
France,100,100,0,0,100,0,0,0
Germany,100,100,0,0,100,0,0,0
Greece,100,100,0,0,98,0,2,0
Greenland,100,100,0,0,100,0,0,0
Iceland,100,100,0,0,100,0,0,0
Ireland,100,100,0,0,99,0,1,0
Israel,100,100,0,0,100,0,0,0
Italy,100,100,0,0,0,0,0,0
Luxembourg,100,100,0,0,100,0,0,0
Malta,100,100,0,0,100,0,0,0
Monaco,100,100,0,0,100,0,0,0
Netherlands,100,100,0,0,100,0,0,0
New Zealand,100,100,0,0,0,0,0,0
Norway,100,100,0,0,100,0,0,0
Singapore,100,100,0,0,100,0,0,0
Sweden,100,100,0,0,100,0,0,0
Switzerland,100,100,0,0,100,0,0,0
United Kingdom,100,100,0,0,100,0,0,0
Micronesia (Federated States of)0,,,,,,,,
Saint Vincent and the Grenadines0,,,,,,,,
United States Virgin Islands0,,,,,,,,
Venezuela (Bolivarian Republic of)0,,,,,,,,
